variant,canonical,source
竊,窃,kJapaneseNewVariant
竝,並,kJapaneseNewVariant
粹,粋,kJapaneseNewVariant
絲,糸,kJapaneseNewVariant
經,経,kJapaneseNewVariant
綠,緑,kJapaneseNewVariant
緖,緒,kJapaneseNewVariant
緣,縁,kJapaneseNewVariant
縣,県,kJapaneseNewVariant
縱,縦,kJapaneseNewVariant
總,総,kJapaneseNewVariant
繩,縄,kJapaneseNewVariant
繪,絵,kJapaneseNewVariant
繼,継,kJapaneseNewVariant
續,続,kJapaneseNewVariant
纖,繊,kJapaneseNewVariant
缺,欠,kJapaneseNewVariant
罐,缶,kJapaneseNewVariant
聲,声,kJapaneseNewVariant
聽,聴,kJapaneseNewVariant
肅,粛,kJapaneseNewVariant
腦,脳,kJapaneseNewVariant
膽,胆,kJapaneseNewVariant
臟,臓,kJapaneseNewVariant
臺,台,kJapaneseNewVariant
與,与,kJapaneseNewVariant
舊,旧,kJapaneseNewVariant
艷,艶,kJapaneseNewVariant
莊,荘,kJapaneseNewVariant
莖,茎,kJapaneseNewVariant
萬,万,kJapaneseNewVariant
薰,薫,kJapaneseNewVariant
藏,蔵,kJapaneseNewVariant
藝,芸,kJapaneseNewVariant
藥,薬,kJapaneseNewVariant
處,処,kJapaneseNewVariant
虛,虚,kJapaneseNewVariant
號,号,kJapaneseNewVariant
螢,蛍,kJapaneseNewVariant
蟲,虫,kJapaneseNewVariant
蠶,蚕,kJapaneseNewVariant
蠻,蛮,kJapaneseNewVariant
衞,衛,kJapaneseNewVariant
裝,装,kJapaneseNewVariant
襃,褒,kJapaneseNewVariant
覺,覚,kJapaneseNewVariant
覽,覧,kJapaneseNewVariant
觀,観,kJapaneseNewVariant
觸,触,kJapaneseNewVariant
謠,謡,kJapaneseNewVariant
證,証,kJapaneseNewVariant
譯,訳,kJapaneseNewVariant
譽,誉,kJapaneseNewVariant
讀,読,kJapaneseNewVariant
變,変,kJapaneseNewVariant
讓,譲,kJapaneseNewVariant
豐,豊,kJapaneseNewVariant
豫,予,kJapaneseNewVariant
貳,弐,kJapaneseNewVariant
賣,売,kJapaneseNewVariant
賴,頼,kJapaneseNewVariant
贊,賛,kJapaneseNewVariant
踐,践,kJapaneseNewVariant
輕,軽,kJapaneseNewVariant
轉,転,kJapaneseNewVariant
辨,弁,kJapaneseNewVariant
辭,辞,kJapaneseNewVariant
辯,弁,kJapaneseNewVariant
遞,逓,kJapaneseNewVariant
遲,遅,kJapaneseNewVariant
邉,辺,manual
邊,辺,kJapaneseNewVariant
郞,郎,kJapaneseNewVariant
鄕,郷,kJapaneseNewVariant
醉,酔,kJapaneseNewVariant
醫,医,kJapaneseNewVariant
釀,醸,kJapaneseNewVariant
釋,釈,kJapaneseNewVariant
錄,録,kJapaneseNewVariant
錢,銭,kJapaneseNewVariant
鍊,錬,kJapaneseNewVariant
鎭,鎮,kJapaneseNewVariant
鐵,鉄,kJapaneseNewVariant
鑄,鋳,kJapaneseNewVariant
鑛,鉱,kJapaneseNewVariant
關,関,kJapaneseNewVariant
陷,陥,kJapaneseNewVariant
隨,随,kJapaneseNewVariant
險,険,kJapaneseNewVariant
隱,隠,kJapaneseNewVariant
雙,双,kJapaneseNewVariant
雜,雑,kJapaneseNewVariant
霸,覇,kJapaneseNewVariant
靈,霊,kJapaneseNewVariant
靜,静,kJapaneseNewVariant
顯,顕,kJapaneseNewVariant
飜,翻,kJapaneseNewVariant
餘,余,kJapaneseNewVariant
餠,餅,kJapaneseNewVariant
騷,騒,kJapaneseNewVariant
驅,駆,kJapaneseNewVariant
